kind,t,which,value,metric,feature,coef,median_sign
partial_corr,t0,partial_t0_Ktilde,-0.22825475,,,,
partial_corr,t0,partial_t0_Kregge,0.023484249999999998,,,,
partial_corr,t2,partial_t2_Ktilde,-0.24117025,,,,
partial_corr,t2,partial_t2_Kregge,0.023586249999999996,,,,
seedwise_t2,,,0.99620875,Cidx_A_mean,,,
seedwise_t2,,,0.99602475,Cidx_B_mean,,,
seedwise_t2,,,-0.00018399999999996197,delta_Cidx_B_minus_A,,,
bootstrap_t2,,,0.000219,ΔMSE_mean,,,
bootstrap_t2,,,4.4e-05,ΔMSE_IC95,,,
bootstrap_t2,,,-0.000163,ΔCidx_mean,,,
bootstrap_t2,,,0.000373,ΔCidx_IC95,,,
vif_t2,,,2.798401,max_VIF,|∇m|,,
vif_t2,,,1.9809222499999999,mean_VIF,,,
ridge_sign_t2,,,,,,λ,1.0
ridge_sign_t2,,,,,,sign(K̃),1.0
ridge_sign_t2,,,,,,sign(Kreg),-1.0
ridge_sign_t2,,,,,,sign(|∇m|),-1.0
ridge_sign_t2,,,,,,sign(m),1.0
