t,metric,A_mean,D_mean,delta(D-A)
t0,Pearson,0.99968525,0.9997719999999999,8.674999999991329e-05
t0,Spearman,0.9994980000000001,0.999593,9.499999999984521e-05
t0,Kendall,0.98478875,0.9866575,0.0018687499999999746
t0,C-index,0.9918962499999999,0.9936505,0.0017542500000000683
t0,relRMSE,0.010915500000000002,0.00825075,-0.002664750000000002
t0,RMSE,0.010915500000000002,0.00825075,-0.002664750000000002
t1,Pearson,0.999708,0.9997847499999999,7.674999999984777e-05
t1,Spearman,0.99953525,0.9996065000000001,7.12500000000782e-05
t1,Kendall,0.9850949999999999,0.98714775,0.0020527500000000476
t1,C-index,0.9924632500000001,0.9931525,0.0006892499999998636
t1,relRMSE,0.010530500000000002,0.00787775,-0.0026527500000000023
t1,RMSE,0.010530500000000002,0.00787775,-0.0026527500000000023
