
k,Pk
1.00000000e-03,9.33272372e+03
1.07226722e-03,9.94217971e+03
1.14975700e-03,1.05873129e+04
1.23284674e-03,1.12694628e+04
1.32194115e-03,1.19898712e+04
1.41747416e-03,1.27496456e+04
1.51991108e-03,1.35497169e+04
1.62975083e-03,1.43907905e+04
1.74752840e-03,1.52732903e+04
1.87381742e-03,1.61972964e+04
2.00923300e-03,1.71624751e+04
2.15443469e-03,1.81680039e+04
2.31012970e-03,1.92124913e+04
2.47707636e-03,2.02938930e+04
2.65608778e-03,2.14094289e+04
2.84803587e-03,2.25555030e+04
3.05385551e-03,2.37276306e+04
3.27454916e-03,2.49203799e+04
3.51119173e-03,2.61273321e+04
3.76493581e-03,2.73410677e+04
4.03701726e-03,2.85531857e+04
4.32876128e-03,2.97543599e+04
4.64158883e-03,3.09344381e+04
4.97702356e-03,3.20825855e+04
5.33669923e-03,3.31874699e+04
5.72236766e-03,3.42374862e+04
6.13590727e-03,3.52210088e+04
6.57933225e-03,3.61266628e+04
7.05480231e-03,3.69435975e+04
7.56463328e-03,3.76617480e+04
8.11130831e-03,3.82720698e+04
8.69749003e-03,3.87667337e+04
9.32603347e-03,3.91392713e+04
1.00000000e-02,3.93846691e+04
1.07226722e-02,3.94994086e+04
1.14975700e-02,3.94814605e+04
1.23284674e-02,3.93302400e+04
1.32194115e-02,3.90465349e+04
1.41747416e-02,3.86324169e+04
1.51991108e-02,3.80911494e+04
1.62975083e-02,3.74270982e+04
1.74752840e-02,3.66456527e+04
1.87381742e-02,3.57531596e+04
2.00923300e-02,3.47568699e+04
2.15443469e-02,3.36648946e+04
2.31012970e-02,3.24861628e+04
2.47707636e-02,3.12303758e+04
2.65608778e-02,2.99079474e+04
2.84803587e-02,2.85299227e+04
3.05385551e-02,2.71078693e+04
3.27454916e-02,2.56537362e+04
3.51119173e-02,2.41796810e+04
3.76493581e-02,2.26978684e+04
4.03701726e-02,2.12202479e+04
4.32876128e-02,1.97583210e+04
4.64158883e-02,1.83229117e+04
4.97702356e-02,1.69239536e+04
5.33669923e-02,1.55703069e+04
5.72236766e-02,1.42696148e+04
6.13590727e-02,1.30282076e+04
6.57933225e-02,1.18510575e+04
7.05480231e-02,1.07417815e+04
7.56463328e-02,9.70269115e+03
8.11130831e-02,8.73487826e+03
8.69749003e-02,7.83833132e+03
9.32603347e-02,7.01207113e+03
1.00000000e-01,6.25429754e+03
1.07226722e-01,5.56253907e+03
1.14975700e-01,4.93379869e+03
1.23284674e-01,4.36469059e+03
1.32194115e-01,3.85156452e+03
1.41747416e-01,3.39061532e+03
1.51991108e-01,2.97797675e+03
1.62975083e-01,2.60979974e+03
1.74752840e-01,2.28231547e+03
1.87381742e-01,1.99188473e+03
2.00923300e-01,1.73503480e+03
2.15443469e-01,1.50848551e+03
2.31012970e-01,1.30916614e+03
2.47707636e-01,1.13422460e+03
2.65608778e-01,9.81030362e+02
2.84803587e-01,8.47172538e+02
3.05385551e-01,7.30454027e+02
3.27454916e-01,6.28882905e+02
3.51119173e-01,5.40661781e+02
3.76493581e-01,4.64175833e+02
4.03701726e-01,3.97980063e+02
4.32876128e-01,3.40786240e+02
4.64158883e-01,2.91449852e+02
4.97702356e-01,2.48957352e+02
5.33669923e-01,2.12413879e+02
5.72236766e-01,1.81031602e+02
6.13590727e-01,1.54118767e+02
6.57933225e-01,1.31069514e+02
7.05480231e-01,1.11354473e+02
7.56463328e-01,9.45121523e+01
8.11130831e-01,8.01410981e+01
8.69749003e-01,6.78927941e+01
9.32603347e-01,5.74652681e+01
1.00000000e+00,4.85973599e+01
